Colleges,2018,2019,2020,2021,2022
Bouve College of Health Sciences,1676,2475,1397,1773,1773
"College of Arts, Media and Design",718,705,726,1000,1000
College of Engineering,5063,5454,4876,7049,7049
College of Professional Studies,6122,6179,5969,6472,6472
College of Science,1664,1831,1013,2075,1075
College of Social Sciences and Humanities,1426,1303,1365,748,748
DAmore-McKim School of Business,1590,1587,1615,2201,2201
Khoury College of Computer Sciences,2475,2132,2712,3792,3792
School of Law,709,709,699,838,838
University Programs,490,446,469,539,539
,,,,,
Total,21933,22821,20841,28508,25487